date,high,low,open,close,volume,quoteVolume,weightedAverage
1577894400,7201.56316558,7201.56316558,7201.56316558,7201.56316558,0.0,0.0,7201.56316558
1577923200,7211.745123,6933.79000002,7198.22265759,6965.96577138,25562358.87402523,3595.46984614,7109.60179556
1578009600,7402.0,6870.86130202,6964.86861392,7344.84012792,36080284.81427481,5002.01858339,7213.14489595
1578096000,7403.0402129,7274.12349904,7344.65455073,7352.47412649,31022711.57165996,4231.47838825,7331.41203268
1578182400,7494.99999999,7320.1489101,7353.49967084,7359.66822393,32306187.66279312,4344.69219618,7435.78283662
1578268800,7797.7,7347.18857922,7357.40000015,7756.35259299,28650847.55296537,3801.85330696,7536.02131374
1578355200,8200.0,7709.27,7761.03235428,8150.7253787,29008509.70703789,3661.66887362,7922.20998354
1578441600,8453.97641769,7872.80802,8150.0,8052.34312978,30256783.06418537,3675.97209227,8230.96103689
1578528000,8052.52381603,7752.0,8052.44312985,7821.52457833,29279520.31889447,3709.3809406,7893.37110093
1578614400,8194.34559945,7676.27,7819.57439255,8194.15195409,36801811.78404105,4642.97514986,7926.34261356
1578700800,8284.21185622,8005.48583795,8196.888,8022.57252717,27380837.26098883,3372.56822162,8118.69040497
1578787200,8190.05279821,7962.61894706,8025.83378365,8182.70086811,27067175.88960965,3336.51064735,8112.42005509
1578873600,8195.17813482,8043.77323451,8184.42365999,8108.02777796,28422348.14488077,3504.66597622,8109.85935256
1578960000,8870.99999999,8106.53544111,8106.66475245,8815.80776655,46414508.60460107,5418.54542773,8565.86130422
1579046400,8913.82118624,8571.00819079,8814.52355716,8825.80801503,33506668.33790639,3823.73633884,8762.80825054
1579132800,8860.30397419,8594.52742722,8822.60840754,8724.52752597,29906850.18584774,3442.12430657,8688.4863887
1579219200,9031.15376085,8674.89231228,8724.47752596,8912.81716409,42041894.11894177,4734.87074309,8879.20629729
1579305600,8986.14219055,8808.00000002,8914.6767085,8916.54205724,33849582.5816068,3803.87441095,8898.71192491
1579392000,9195.0,8450.32268443,8916.44205717,8704.18040015,37591682.95538313,4251.12287906,8842.76555273
1579478400,8748.81452489,8524.99999999,8704.24832919,8642.95749646,27296659.211991,3155.78918703,8649.70934185
1579564800,8798.43238574,8499.0,8643.19382929,8735.77037597,25375886.05682775,2932.03941303,8654.68790905
1579651200,8813.6313722,8600.0,8737.18710436,8683.4489015,23536768.51543949,2708.74833885,8689.16767861
1579737600,8689.79999997,8307.7186295,8683.54890149,8405.69328988,27347363.5701012,3237.42556285,8447.25632734
1579824000,8522.67829782,8239.54530665,8405.6316685,8441.24707314,24377629.07184733,2903.79028197,8395.10663811
1579910400,8452.57562687,8272.60142083,8440.10103313,8342.54913203,15872716.5861093,1902.82096486,8341.67632122
1579996800,8617.09588139,8296.6230346,8342.1339092,8614.72295503,19731584.13504288,2328.59174453,8473.6125091
1580083200,9000.0,8575.67475347,8614.72295504,8910.58806089,33186429.9616048,3789.87287969,8756.60767923
1580169600,9398.94574571,8895.0,8909.49717703,9383.16580405,40602104.49764576,4482.19030472,9058.5409671
1580256000,9445.93655389,9221.6212354,9373.39283032,9304.27463445,23276227.88789778,2490.9030538,9344.49369773
1580342400,9643.91626119,9207.11004011,9303.3079425,9513.10343097,40198628.69718102,4280.33353123,9391.4711094
1580428800,9532.1842321,9213.39259497,9513.7638848,9351.06325292,26091039.76476709,2792.65879917,9342.72377725
1580515200,9464.68515,9294.62878955,9351.95473796,9385.38196504,22559524.59940352,2402.99695166,9388.07874218
1580601600,9474.99999999,9163.60000008,9385.38196499,9334.5710651,30546955.85992926,3258.63677539,9374.15182036
1580688000,9600.0,9236.90581181,9334.20235802,9296.35003104,25352308.21896915,2713.97370811,9341.39787102
1580774400,9360.54382477,9092.90947236,9295.67501538,9194.5581705,34206353.85870984,3710.23023988,9219.46931784
1580860800,9739.25469287,9177.10000022,9194.61490544,9609.60739899,37530422.61820575,3973.57617892,9444.99889477
1580947200,9861.94500601,9530.0,9609.607399,9770.61908803,33718473.92057236,3467.80539886,9723.28895146
1581033600,9884.75825758,9732.88434922,9770.81262064,9815.22383331,22763111.59955314,2323.63517779,9796.33628253
1581120000,9932.86795925,9672.41379311,9815.112435,9893.33174451,23301621.46651131,2373.17555735,9818.75166982
1581206400,10164.99999998,9881.71741704,9893.33174561,10155.50460793,29610255.94567327,2935.01381465,10088.62574951
1581292800,10190.0,9762.63423321,10161.67923339,9848.83531887,23950259.09364321,2414.94713694,9917.50863912
1581379200,10317.56750004,9716.0,9849.54872498,10222.6949677,36042729.62957021,3600.30893093,10011.01025523
1581465600,10450.0,10222.59496774,10222.59496774,10329.17099632,31780162.2398965,3075.61243713,10332.95413174
1581552000,10500.0,10090.78631426,10320.0,10231.58767321,39140583.29296246,3806.12345373,10283.58217193
1581638400,10376.05160059,10112.44015198,10231.58767323,10341.09144713,31142172.12002116,3035.65298423,10258.80503529
1581724800,10373.6174174,9806.84376001,10341.59144753,9907.48217576,30347363.20669579,3003.49700603,10104.00980782
1581811200,10047.69999993,9639.67491782,9905.64301708,9919.59609451,29685207.11586792,3002.40292266,9887.14968661
1581897600,9960.01665695,9457.23408,9918.132,9693.36192021,34649615.26926398,3576.88978638,9687.07937303
1581984000,10247.84774677,9587.16513373,9693.74415265,10159.9100102,34440506.00204117,3489.75160199,9869.04224999
1582070400,10259.0,9350.0,10162.7581232,9599.3000001,25022293.66568964,2502.17685758,10000.20985322
1582156800,9694.34,9395.50071489,9593.82249455,9597.93973146,24158283.21530339,2523.42837526,9573.59576842
1582243200,9755.11091429,9566.63582304,9597.50267945,9679.20238021,15653429.0080275,1617.77653167,9675.89076834
1582329600,9709.66879221,9559.72941803,9680.10000002,9653.4463308,15791334.94394098,1637.24642039,9645.05693662
1582416000,9987.0,9648.55749888,9652.47359752,9936.95772363,19898513.55028021,2017.93251268,9860.84193859
1582502400,9987.0,9480.0,9944.49999999,9659.13000002,35795241.38262415,3684.29635349,9715.62489774
1582588800,9673.78439996,9250.99994993,9659.13000005,9318.25333418,25962897.08356438,2739.49369179,9477.2611309
1582675200,9384.7,8639.97,9315.66000011,8789.23108991,50010573.32552859,5540.04068885,9027.11300048
1582761600,8970.73999999,8532.29601421,8789.03108977,8818.99419636,30273784.44875655,3440.02167341,8800.46328857
1582848000,8899.99999999,8449.01429827,8818.99419636,8695.0,35629015.18072179,4113.07482741,8662.37952766
1582934400,8790.0,8525.06531569,8687.67859313,8527.1694333,17649645.74004915,2036.13370257,8668.2155095
1583020800,8746.0,8418.93897132,8527.16943229,8531.55,29964964.08022859,3495.72205696,8571.89547451
1583107200,8960.0,8498.59197391,8531.145,8908.99885084,23384081.32518051,2680.96473241,8722.26368459
1583193600,8913.74,8656.0084454,8908.99885084,8753.59502724,15912717.33990532,1812.16188968,8781.06830881
1583280000,8845.01275668,8669.50283808,8760.03043781,8752.16821724,20108647.09612544,2296.46123801,8756.36251258
1583366400,9154.34559945,8752.16872442,8757.0548875,9056.83021407,20084801.86634334,2228.48209503,9012.77237593
1583452800,9170.0,8990.0,9056.33499999,9132.39096122,32418374.21821902,3571.12213862,9077.92367772
1583539200,9182.605,8840.93692301,9132.39096125,8891.51753701,16510556.88345071,1825.00955218,9046.83313231
1583625600,8892.76743117,7999.0,8892.76743117,8032.01789601,48111505.08447165,5683.04483114,8465.79721153
1583712000,8175.42692946,7633.0,8032.41789605,7930.30000002,43495777.93804015,5515.0727259,7886.7097679
1583798400,8145.0,7736.7671687,7930.30000002,7891.25967057,21460156.71406199,2701.21581683,7944.62870399
1583884800,7980.0,7588.49216055,7891.46053507,7933.54422283,26741618.50045974,3418.4075955,7822.82912536
1583971200,7961.80999999,4500.0,7933.64402731,4791.02974179,52047952.14007474,7969.52736114,6530.87062525
1584057600,5949.34559945,3800.0,4812.54617532,5570.04538407,28153619.45503492,5546.07733876,5076.31209148
1584144000,5631.95602796,5069.45964,5565.14821395,5186.34502312,8479470.54474707,1579.74432652,5367.62209073
1584230400,5939.34559944,5095.52201503,5175.58698589,5364.29999999,10832682.08637682,2016.82388904,5371.1591504
1584316800,5364.29999999,4446.66687521,5364.29999999,5023.98443994,22271866.22656678,4549.66626803,4895.27471126
1584403200,5523.81873617,4925.64772,5025.19239107,5317.99074218,11642812.24083151,2204.21883253,5282.05823714
1584489600,5433.30516084,5010.0,5311.07991493,5390.15700577,15718889.71113172,2996.47799036,5245.78847623
1584576000,6398.12697064,5255.08153221,5395.38883999,6166.85435901,21263898.85387358,3628.37653079,5860.44438151
1584662400,6905.47803663,5668.78079368,6166.85280539,6208.74521675,30008116.66686827,4714.26507933,6365.38594285
1584748800,6444.44718009,5870.27821868,6208.61195754,6186.69428199,16620542.22799931,2698.40202211,6159.40178365
1584835200,6404.02141142,5745.9090909,6186.70499036,5826.40916042,17298477.19407731,2841.35652401,6088.10511736
1584921600,6600.000003,5689.12929415,5824.71398203,6470.60301487,20516686.18370212,3321.17638086,6177.53585805
1585008000,6828.29,6376.26975951,6464.27411875,6747.40854004,21494250.82762727,3243.15618858,6627.5719015
1585094400,6957.44,6450.0,6743.31483733,6680.55900381,21787135.01289554,3269.30889955,6664.14085738
1585180800,6775.71518859,6518.0,6680.55870354,6736.73786052,11624764.72458261,1748.21157773,6649.51821202
1585267200,6838.45934057,6272.49417398,6736.73776855,6364.21707348,19380242.36364178,2923.64786188,6628.78817121
1585353600,6363.51661488,6027.35229832,6360.39218051,6236.9116184,21952312.64086932,3537.66338813,6205.31413885
1585440000,6264.24488082,5873.00147178,6236.9116184,5879.97885061,17399116.10787123,2872.40566198,6057.33247854
1585526400,6593.63172614,5859.1049541,5879.68494971,6393.91728904,19073039.52269977,3044.38562389,6264.98803996
1585612800,6517.32266059,6331.8123439,6391.0989605,6410.98220921,12651638.72427379,1966.19327987,6434.58547732
1585699200,6675.98493528,6149.14417661,6410.98220921,6643.99644607,25553570.97989121,4011.45097701,6370.15661573
1585785600,7200.0,6558.94050204,6646.34035539,6793.95863319,36742187.14350972,5410.01715832,6791.51027959
